fips,percent_diff,state,county,votes_dem,votes_gop,total_votes
29165,12.992860358911686,MO,Platte County,18915,24975,46641
29167,56.93340141512875,MO,Polk County,2630,10435,13709
29169,51.71464702819312,MO,Pulaski County,2918,9870,13443
29171,67.63450042698548,MO,Putnam County,352,1936,2342
29173,53.75996961640715,MO,Ralls County,1138,3969,5266
29175,50.887573964497044,MO,Randolph County,2283,7529,10309
29177,37.055837563451774,MO,Ray County,3088,7103,10835
29179,61.41160949868074,MO,Reynolds County,540,2402,3032
29181,66.87205509242479,MO,Ripley County,830,4520,5518
29195,34.505137912385074,MO,Saline County,2787,5977,9245
29197,59.54474909467149,MO,Schuyler County,354,1505,1933
29199,58.94308943089431,MO,Scotland County,365,1525,1968
29201,55.636743215031316,MO,Scott County,3574,13168,17244
29203,56.096311475409834,MO,Shannon County,776,2966,3904
29205,58.97908979089791,MO,Shelby County,606,2524,3252
29183,26.401287134171707,MO,St. Charles County,68225,120899,199513
29185,55.399568034557234,MO,St. Clair County,936,3501,4630
29187,45.38722991017237,MO,St. Francois County,6250,17467,24714
29189,-16.243522750068024,MO,St. Louis County,280866,199081,503493
29510,-63.739472382910925,MO,St. Louis city,101487,20281,127403
29186,34.933207234897736,MO,Ste. Genevieve County,2540,5495,8459
29207,69.3176683235427,MO,Stoddard County,1873,11077,13278
29209,62.05708066271617,MO,Stone County,2886,13149,16538
29211,54.66988727858293,MO,Sullivan County,526,1884,2484
29213,59.28885849822642,MO,Taney County,4367,18240,23399
29215,65.35893918609969,MO,Texas County,1728,8875,10935
29217,56.20335820895522,MO,Vernon County,1706,6526,8576
29219,45.629836356716986,MO,Warren County,3915,11109,15766
29221,55.18913676042677,MO,Washington County,1926,7047,9279
29223,64.37783199721157,MO,Wayne County,946,4640,5738
29225,57.85500299580587,MO,Webster County,3173,12829,16690
29227,58.604206500956025,MO,Worth County,195,808,1046
29229,68.4763789265397,MO,Wright County,1166,6703,8086
28001,-14.70443753070247,MS,Adams County,6921,5125,12214
28003,61.78878289696231,MS,Alcorn County,2684,11817,14781
28005,22.664581259775346,MS,Amite County,2688,4282,7033
28007,19.897818282242476,MS,Attala County,2847,4288,7242
28009,13.188188188188189,MS,Benton County,1713,2240,3996
28011,-32.41368560517497,MS,Bolivar County,8410,4251,12831
28013,39.05978861019088,MS,Calhoun County,1884,4360,6339
28015,38.866544789762344,MS,Carroll County,1648,3774,5470
28017,6.05830164765526,MS,Chickasaw County,3649,4127,7890
28019,38.930348258706466,MS,Choctaw County,1198,2763,4020
28021,-71.39471902505078,MS,Claiborne County,2523,414,2954
28023,32.82769350447297,MS,Clarke County,2556,5088,7713
28025,-15.652610441767067,MS,Clay County,5695,4136,9960
28027,-44.344703770197484,MS,Coahoma County,6378,2426,8912
28029,-5.266252309759785,MS,Copiah County,6203,5576,11906
28031,24.52787258248009,MS,Covington County,3267,5423,8790
28033,34.77398394301959,MS,DeSoto County,19892,42155,64022
28035,14.2134584371793,MS,Forrest County,11271,15149,27284
