"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"A.J. Hammons","DAL",22,0,163,17,42,5,10,9,20,8,28,4,1,13,10,21,48,198,99,NA,1993,NA
"Aaron Brooks","IND",65,0,894,121,300,48,128,32,40,18,51,125,25,9,66,93,322,183,73,"University of Oregon",1985,"Washington"
"Aaron Gordon","ORL",80,72,2298,393,865,77,267,156,217,116,289,150,64,40,89,172,1019,206,99,"University of Arizona",1995,"California"
"Aaron Harrison","CHO",5,0,17,0,4,0,2,1,2,0,3,3,0,0,0,2,1,198,95,"University of Kentucky",1994,"Texas"
"Adreian Payne","MIN",18,0,135,23,54,3,15,14,19,9,24,7,8,7,8,32,63,208,107,"Michigan State University",1991,"Ohio"
"Al Horford","BOS",68,68,2193,379,801,86,242,108,135,95,369,337,52,87,116,138,952,208,111,"University of Florida",1986,"Dominican Republic"
"Al Jefferson","IND",66,1,931,235,471,0,1,65,85,75,203,57,19,16,33,125,535,208,131,NA,1985,"Mississippi"
"Al-Farouq Aminu","POR",61,25,1773,183,466,70,212,96,136,77,374,99,60,44,94,102,532,206,99,"Wake Forest University",1990,"Georgia"
"Alan Anderson","LAC",30,0,308,30,80,14,44,12,16,3,21,11,3,0,7,35,86,198,99,"Michigan State University",1982,"Minnesota"
"Alan Williams","PHO",47,0,708,138,267,0,1,70,112,94,198,23,27,32,37,125,346,NA,NA,NA,NA,NA
"Alec Burks","UTA",42,0,653,99,248,25,76,60,78,17,103,30,18,5,35,50,283,198,97,"University of Colorado",1991,"Missouri"
"Alex Abrines","OKC",68,6,1055,134,341,94,247,44,49,18,68,40,37,8,33,114,406,198,86,NA,1993,"Spain"
"Alex Len","PHO",77,34,1560,230,463,3,12,150,208,156,354,44,37,98,102,242,613,216,117,"University of Maryland",1993,"Ukraine"
"Alex Poythress","PHI",6,1,157,25,54,6,19,8,10,11,18,5,3,2,3,14,64,201,107,"University of Kentucky",1993,"Georgia"
"Alexis Ajinca","NOP",39,15,584,89,178,0,4,29,40,46,131,12,20,22,31,77,207,218,112,NA,1988,"France"
"Allen Crabbe","POR",79,7,2254,303,647,134,302,105,124,19,206,93,54,20,62,171,845,198,95,"University of California",1992,"California"
"Alonzo Gee","DEN",13,0,89,3,14,0,3,5,9,4,11,6,5,1,4,14,11,198,102,"University of Alabama",1987,"Florida"
"Amir Johnson","BOS",80,77,1608,213,370,27,66,67,100,117,248,140,52,62,77,211,520,206,108,NA,1987,"California"
"Anderson Varejao","GSW",14,1,92,5,14,0,0,8,11,12,15,10,3,3,8,16,18,208,123,NA,1982,"Brazil"
"Andre Drummond","DET",81,81,2409,483,911,2,7,137,355,345,771,89,124,89,152,237,1105,211,126,"University of Connecticut",1993,"New York"
"Andre Iguodala","GSW",76,0,1998,219,415,64,177,72,102,51,253,262,76,39,58,97,574,198,97,"University of Arizona",1984,"Illinois"
"Andre Roberson","OKC",79,79,2376,215,463,45,184,47,111,98,304,79,94,79,51,204,522,NA,NA,NA,NA,NA
"Andrew Bogut","DAL",27,21,583,38,81,0,1,3,11,56,162,49,13,25,43,86,79,213,117,"University of Utah",1984,"Australia"
"Andrew Harrison","MEM",72,18,1474,117,360,43,156,148,194,23,113,198,54,20,85,194,425,198,96,"University of Kentucky",1994,"Texas"
"Andrew Nicholson","WAS",38,0,342,43,111,5,27,9,14,15,46,10,16,6,17,55,100,206,113,"St. Bonaventure University",1989,"Canada"
"Andrew Wiggins","MIN",82,82,3048,709,1570,103,289,412,542,103,226,189,82,30,187,183,1933,203,90,"University of Kansas",1995,"Canada"
"Anthony Bennett","BRK",23,1,264,38,92,13,48,26,36,25,53,12,5,3,12,18,115,203,111,"University of Nevada, Las Vegas",1993,"Canada"
"Anthony Brown","NOP",11,0,159,18,50,7,27,0,0,8,25,8,5,1,6,15,43,206,111,"DePaul University",1981,"Illinois"
"Anthony Davis","NOP",75,75,2708,770,1527,40,134,519,647,174,712,157,94,167,181,168,2099,NA,NA,NA,NA,NA
"Anthony Morrow","OKC",49,7,714,98,252,41,133,34,37,12,19,25,24,2,6,44,271,196,95,"Georgia Institute of Technology",1985,"North Carolina"
"Anthony Tolliver","SAC",65,9,1477,155,351,90,230,61,82,51,188,77,33,20,56,109,461,203,108,"Creighton University",1985,"Missouri"
"Archie Goodwin","BRK",15,0,214,36,66,5,15,33,42,7,21,24,4,5,14,8,110,196,90,"University of Kentucky",1994,"Arkansas"
"Arinze Onuaku","ORL",8,0,28,2,4,0,0,0,0,2,4,2,0,1,2,3,4,206,115,"Syracuse University",1987,"Maryland"
"Aron Baynes","DET",75,2,1163,143,279,0,0,79,94,111,222,32,17,39,50,166,365,208,117,"Washington State University",1986,"New Zealand"
"Arron Afflalo","SAC",61,45,1580,185,420,62,151,83,93,9,116,78,21,7,42,104,515,196,95,"University of California, Los Angeles",1985,"California"
"Austin Rivers","LAC",74,29,2054,323,731,111,299,132,191,20,141,204,48,10,115,187,889,193,90,"Duke University",1992,"California"
"Avery Bradley","BOS",55,55,1835,359,775,108,277,68,93,65,269,121,68,11,88,141,894,188,81,"University of Texas at Austin",1990,"Washington"
"Axel Toupane","MIL",4,0,47,5,9,1,4,0,0,0,1,0,1,1,0,6,11,201,89,NA,1992,"France"
"Ben Bentil","DAL",3,0,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,206,106,"Providence College",1995,NA
"Ben McLemore","SAC",61,26,1176,180,419,65,170,70,93,19,111,51,29,6,62,108,495,196,88,"University of Kansas",1993,"Missouri"
"Beno Udrih","DET",39,0,560,92,197,11,32,32,34,6,51,131,13,0,37,29,227,190,92,NA,1982,"Slovenia"
"Bismack Biyombo","ORL",81,27,1793,179,339,0,0,125,234,157,410,74,25,91,95,202,483,206,115,NA,1992,"Democratic Republic of the Congo"
"Blake Griffin","LAC",61,61,2076,479,971,38,113,320,421,111,385,300,58,23,142,157,1316,208,113,"University of Oklahoma",1989,"Oklahoma"
"Boban Marjanovic","DET",35,0,293,72,132,0,0,47,58,46,84,9,6,12,10,25,191,221,131,NA,1988,"Serbia"
"Bobby Brown","HOU",25,0,123,23,60,14,35,2,2,0,6,14,1,0,5,5,62,NA,NA,NA,NA,NA
"Bobby Portis","CHI",64,13,1000,183,375,32,96,39,59,75,221,35,16,11,37,94,437,211,104,"University of Arkansas",1995,"Arkansas"
"Bojan Bogdanovic","BRK",81,54,2083,376,845,144,392,217,243,37,240,111,34,7,130,146,1113,198,92,NA,1992,"Serbia"
"Boris Diaw","UTA",73,33,1283,146,327,20,81,26,35,46,112,170,18,9,87,83,338,203,113,NA,1982,"France"
"Bradley Beal","WAS",77,77,2684,637,1322,223,552,282,342,53,186,267,83,21,157,169,1779,196,93,"University of Florida",1993,"Missouri"
"Brandan Wright","MEM",28,5,447,83,135,0,1,23,35,31,47,15,11,20,10,42,189,NA,NA,NA,NA,NA
"Brandon Bass","LAC",52,0,577,107,186,1,3,77,88,43,86,21,14,11,29,45,292,203,113,"Louisiana State University",1985,"Louisiana"
"Brandon Ingram","LAL",79,40,2279,276,686,55,187,133,214,60,257,166,50,36,116,158,740,206,86,"Duke University",1997,"North Carolina"
"Brandon Jennings","NYK",81,13,1802,192,535,79,252,114,152,29,167,395,70,5,128,116,577,185,77,NA,1989,"California"
"Brandon Knight","PHO",54,5,1140,209,525,45,139,132,154,25,93,130,27,5,89,87,595,178,78,"Stanford University",1975,"New Jersey"
"Brandon Rush","MIN",47,33,1030,70,187,44,114,13,18,16,83,45,22,23,28,42,197,198,99,"University of Kansas",1985,"Missouri"
"Brian Roberts","CHO",41,2,416,46,122,17,44,33,39,5,34,52,9,1,26,18,142,185,78,"University of Dayton",1985,"Ohio"
"Briante Weber","CHO",20,0,205,25,60,1,10,11,16,8,18,21,12,1,8,16,62,188,74,"Virginia Commonwealth University",1992,"Virginia"
"Brice Johnson","LAC",3,0,9,2,7,0,0,0,0,1,2,1,2,1,1,0,4,208,95,"University of Utah",1979,"Utah"
"Brook Lopez","BRK",75,75,2222,555,1172,134,387,295,364,121,282,176,38,124,184,192,1539,213,124,"Stanford University",1988,"California"
"Bruno Caboclo","TOR",9,0,40,6,16,2,6,0,0,5,5,4,2,1,2,4,14,206,98,NA,1995,"Brazil"
"Bryn Forbes","SAS",36,0,285,36,99,17,53,5,6,2,21,23,1,0,11,20,94,190,86,"Michigan State University",1993,"Michigan"
"Buddy Hield","NOP",82,55,1888,327,768,148,379,64,76,35,234,121,38,9,101,115,866,193,97,"University of Oklahoma",1993,"Bahamas"
"C.J. McCollum","POR",80,80,2796,692,1441,185,440,268,294,60,231,285,72,42,172,202,1837,190,86,NA,1991,NA
"C.J. Miles","IND",76,29,1776,281,647,169,409,84,93,30,199,48,46,25,40,151,815,185,79,NA,1983,NA
"C.J. Watson","ORL",62,9,1012,96,248,32,105,57,66,16,73,114,43,2,47,84,281,211,117,NA,1984,NA
"C.J. Wilcox","ORL",22,0,108,8,31,3,15,2,2,4,8,12,2,1,6,8,21,203,90,NA,1995,NA
"Cameron Payne","OKC",31,0,462,64,193,27,86,5,8,3,45,55,14,5,29,52,160,190,83,"Murray State University",1994,"Tennessee"
"Caris LeVert","BRK",57,26,1237,171,380,59,184,67,93,23,165,110,49,8,59,91,468,201,92,"University of Michigan",1994,"Ohio"
"Carmelo Anthony","NYK",74,74,2538,602,1389,151,421,304,365,62,374,213,60,34,153,198,1659,203,108,"Syracuse University",1984,"New York"
"Chandler Parsons","MEM",34,34,675,75,222,25,93,35,43,6,78,55,20,5,24,52,210,208,104,"University of Florida",1988,"Florida"
"Channing Frye","CLE",74,15,1398,238,520,137,335,63,74,37,253,45,33,37,53,138,676,211,115,"University of Arizona",1983,"New York"
"Chasson Randle","NYK",26,0,299,40,98,16,47,41,43,6,26,34,9,2,19,39,137,188,83,"Stanford University",1993,"Illinois"
"Cheick Diallo","NOP",17,0,199,36,76,0,0,15,21,23,50,4,4,7,7,17,87,206,99,"University of Kansas",1996,"Mali"
"Chinanu Onuaku","HOU",5,1,52,5,7,0,0,4,4,2,8,3,3,1,4,6,14,208,111,"University of Louisville",1996,"Maryland"
"Chris Andersen","CLE",12,0,114,9,22,0,3,10,14,9,22,5,5,7,5,20,28,208,111,"Blinn College",1978,"California"
"Chris McCullough","BRK",16,0,80,16,32,1,7,3,5,9,10,2,2,2,3,7,36,211,90,"Syracuse University",1995,"New York"
"Chris Paul","LAC",61,61,1921,374,785,124,302,232,260,41,263,563,118,8,147,146,1104,183,79,"Wake Forest University",1985,"North Carolina"
"Christian Wood","CHO",13,0,107,12,23,0,5,11,15,14,15,2,3,6,7,11,35,211,99,"University of Nevada, Las Vegas",1995,"California"
"Clint Capela","HOU",65,59,1551,362,563,0,0,94,177,178,348,64,34,80,87,179,818,206,98,NA,1995,NA
"Cody Zeller","CHO",62,58,1725,253,443,0,1,133,196,135,270,99,62,58,65,189,639,213,108,"Indiana University",1992,"Indiana"
"Cole Aldrich","MIN",62,0,531,45,86,0,0,15,22,51,107,25,25,23,17,85,105,211,113,"University of Kansas",1988,"Minnesota"
"Corey Brewer","HOU",82,11,1281,147,348,27,118,50,68,32,134,97,61,19,55,133,371,206,84,"University of Florida",1986,"Tennessee"
"Cory Joseph","TOR",80,22,2003,299,661,48,135,94,122,51,184,265,66,13,108,140,740,190,87,"University of Texas at Austin",1991,"Canada"
"Courtney Lee","NYK",77,74,2459,321,704,108,269,85,98,53,207,179,81,23,69,141,835,196,90,"Western Kentucky University",1985,"Indiana"
"Cristiano Felicio","CHI",66,0,1040,128,222,0,0,60,93,124,187,40,25,16,33,110,316,208,124,NA,1992,"Brazil"
"D.J. Augustin","ORL",78,20,1538,195,517,95,274,131,161,15,102,209,31,1,90,101,616,206,106,NA,1988,NA
"D'Angelo Russell","LAL",63,60,1811,351,867,135,384,147,188,31,191,303,87,16,176,130,984,188,86,NA,1994,NA
"Dahntay Jones","CLE",1,0,12,3,8,0,2,3,4,1,1,1,0,0,1,1,9,190,83,"University of Houston",1976,"Texas"
"Damian Jones","GSW",10,0,85,8,16,0,0,3,10,9,14,0,1,4,6,15,19,190,83,"University of Houston",1976,"Texas"
"Damian Lillard","POR",75,75,2694,661,1488,214,578,488,545,46,322,439,68,20,197,152,2024,190,88,"Weber State University",1990,"California"
"Damjan Rudez","ORL",45,0,314,31,88,20,64,0,0,5,20,20,12,1,9,31,82,208,103,NA,1986,"Croatia"
"Daniel Ochefu","WAS",19,0,75,12,27,0,0,0,2,5,17,3,2,0,3,17,24,211,111,"Villanova University",1993,"Maryland"
"Danilo Gallinari","DEN",63,63,2134,335,750,126,324,349,387,39,287,135,40,15,81,93,1145,208,102,NA,1988,"Italy"
"Danny Green","SAS",68,68,1807,176,449,118,311,27,32,31,193,124,71,58,76,120,497,NA,NA,NA,NA,NA
"Dante Cunningham","NOP",66,35,1649,174,359,71,181,16,27,56,221,36,39,28,28,100,435,203,104,"Villanova University",1987,"Maryland"
"Dante Exum","UTA",66,26,1228,155,363,44,149,58,73,30,102,112,21,12,80,146,412,198,86,NA,1995,"Australia"
"Danuel House","WAS",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,201,93,"Texas A&M University",1993,"Texas"
"Dario Saric","PHI",81,36,2129,381,927,106,341,172,220,112,401,182,57,30,183,162,1040,208,101,NA,1994,"Croatia"
"Darrell Arthur","DEN",41,7,639,95,215,53,117,19,22,25,87,42,19,21,36,76,262,206,106,"University of Kansas",1988,"Texas"
"Darren Collison","SAC",68,64,2063,340,714,73,175,147,171,23,130,312,67,9,114,119,900,183,79,"University of California, Los Angeles",1987,"California"
"Darrun Hilliard","DET",39,1,381,47,126,12,46,21,28,2,31,33,11,2,28,39,127,198,92,"Villanova University",1993,"Pennsylvania"
"David Lee","SAS",79,10,1477,248,420,0,0,80,113,148,292,124,31,40,82,125,576,NA,NA,NA,NA,NA
"David Nwaba","LAL",20,2,397,47,81,1,5,25,39,16,46,14,13,7,11,36,120,193,94,"California Polytechnic State University, San Luis Obispo",1993,"California"
"David West","GSW",68,0,854,135,252,3,8,43,56,47,156,151,42,48,78,105,316,206,113,"Xavier University",1980,"New Jersey"
"Davis Bertans","SAS",67,6,808,103,234,69,173,28,34,22,77,46,20,28,32,75,303,208,95,NA,1992,"Latvia"
"DeAndre Jordan","LAC",81,81,2570,412,577,0,2,205,425,297,817,96,52,135,116,212,1029,211,120,"Texas A&M University",1988,"Texas"
"DeAndre Liggins","CLE",62,19,777,55,142,17,46,25,40,20,88,54,47,14,42,81,152,198,94,"University of Kentucky",1988,"Illinois"
"DeAndre' Bembry","ATL",38,1,371,47,98,1,18,6,16,14,45,28,8,5,16,21,101,198,95,"Saint Joseph's University",1994,"North Carolina"
"Dejounte Murray","SAS",38,8,322,50,116,9,23,21,30,6,36,48,8,6,38,29,130,196,77,"University of Washington",1996,"Washington"
"Delon Wright","TOR",27,0,446,49,116,10,30,42,55,16,32,57,27,11,25,31,150,196,83,"University of Utah",1992,"California"
"DeMar DeRozan","TOR",74,74,2620,721,1545,33,124,545,647,70,316,290,78,13,180,134,2020,201,100,"University of Southern California",1989,"California"
"DeMarcus Cousins","SAC",72,72,2465,647,1433,131,364,517,670,153,644,332,100,92,269,278,1942,211,122,"University of Kentucky",1990,"Alabama"
"DeMarre Carroll","TOR",72,72,1882,220,549,109,320,89,117,63,212,74,81,27,54,143,638,203,97,"University of Missouri",1986,"Alabama"
"Demetrius Jackson","BOS",5,0,17,3,4,1,1,3,6,2,2,3,0,0,0,0,10,185,91,"University of Notre Dame",1994,"Indiana"
"Dennis Schroder","ATL",79,78,2485,548,1215,100,294,218,255,42,206,499,74,16,258,149,1414,185,78,NA,1993,"Germany"
"Denzel Valentine","CHI",57,0,976,102,288,73,208,14,18,11,140,63,30,7,49,86,291,198,96,"Michigan State University",1993,"Michigan"
"Deron Williams","DAL",64,44,1657,263,600,85,234,90,109,14,133,360,31,8,138,138,701,190,90,"University of Illinois at Urbana-Champaign",1984,"West Virginia"
"Derrick Favors","UTA",50,39,1186,203,417,3,10,67,109,92,213,56,45,40,60,103,476,208,120,"Georgia Institute of Technology",1991,"Georgia"
"Derrick Jones","PHO",32,8,545,68,121,3,11,29,41,39,40,12,14,13,13,63,168,203,100,"University of Miami",1990,"Georgia"
"Derrick Rose","NYK",64,64,2082,460,977,13,60,221,253,66,180,283,44,17,147,84,1154,190,86,"University of Memphis",1988,"Illinois"
"Derrick Williams","MIA",50,11,804,108,244,30,97,58,89,19,111,28,14,7,28,60,304,190,90,"University of Illinois at Urbana-Champaign",1984,"West Virginia"
"Devin Booker","PHO",78,78,2730,606,1431,147,405,367,441,46,203,268,72,21,241,242,1726,198,93,"University of Kentucky",1996,"Michigan"
"Devin Harris","DAL",65,0,1087,136,341,58,177,107,129,11,116,136,43,7,57,101,437,190,87,"University of Wisconsin",1983,"Wisconsin"
"Dewayne Dedmon","SAS",76,37,1330,161,259,0,0,65,93,129,366,44,37,61,61,180,387,213,111,"University of Southern California",1989,"California"
"Deyonta Davis","MEM",36,0,238,24,47,0,0,10,18,20,40,2,3,17,8,40,58,211,107,"Michigan State University",1996,"Michigan"
"Diamond Stone","LAC",7,0,24,3,13,0,0,4,4,1,5,0,0,1,2,5,10,211,115,"University of Maryland",1997,"Wisconsin"
"Dion Waiters","MIA",46,43,1384,281,663,85,215,82,127,18,136,200,41,20,103,95,729,193,102,"Syracuse University",1991,"Pennsylvania"
"Dirk Nowitzki","DAL",54,54,1424,296,678,79,209,98,112,23,330,82,30,38,51,113,769,213,111,NA,1978,"Germany"
"Domantas Sabonis","OKC",81,66,1632,192,481,51,159,44,67,45,242,82,39,32,83,200,479,211,108,"Gonzaga University",1996,"Oregon"
"Donatas Motiejunas","NOP",34,0,479,57,138,11,47,25,49,26,75,34,18,11,31,55,150,213,100,NA,1990,"Lithuania"
"Dorian Finney-Smith","DAL",81,35,1642,124,333,56,191,46,61,55,166,67,52,25,45,125,350,203,99,"University of Florida",1993,"Virginia"
"Doug McDermott","CHI",66,5,1508,222,497,77,207,71,84,20,159,58,13,5,38,79,592,203,102,"Creighton University",1992,"North Dakota"
"Dragan Bender","PHO",43,0,574,57,161,28,101,4,11,23,80,23,10,22,32,74,146,216,102,NA,1997,"Bosnia and Herzegovina"
"Draymond Green","GSW",76,76,2471,272,650,81,263,151,213,98,501,533,154,106,184,217,776,201,104,"Michigan State University",1990,"Michigan"
"Dwight Howard","ATL",74,74,2199,388,613,0,2,226,424,296,644,104,64,92,170,203,1002,211,120,NA,1985,"Georgia"
"Dwight Powell","DAL",77,3,1333,194,377,21,74,107,141,93,213,49,61,39,34,135,516,211,108,"Stanford University",1991,"Canada"
"Dwyane Wade","CHI",60,59,1792,414,955,45,145,223,281,64,207,229,86,41,138,112,1096,193,99,"Marquette University",1982,"Illinois"
"E'Twaun Moore","NOP",73,22,1820,283,619,77,208,57,74,33,119,164,50,32,62,131,700,208,102,NA,1986,NA
"Ed Davis","POR",46,12,789,75,142,0,0,50,81,96,147,27,15,22,37,137,200,208,108,"University of North Carolina",1989,"District of Columbia"
"Edy Tavares","ATL",2,0,28,4,5,0,0,0,3,4,7,1,0,6,2,3,8,211,115,NA,1997,NA
"Elfrid Payton","ORL",82,58,2412,430,912,40,146,146,211,89,298,529,88,40,178,177,1046,193,83,"University of Louisiana at Lafayette",1994,"Louisiana"
"Elijah Millsap","PHO",2,0,23,1,7,0,2,1,2,3,3,1,0,0,2,2,3,198,102,"University of Alabama at Birmingham",1987,"Louisiana"
"Emmanuel Mudiay","DEN",55,41,1406,208,551,56,178,131,167,29,149,217,41,13,123,95,603,196,90,NA,1996,"Democratic Republic of the Congo"
"Enes Kanter","OKC",72,0,1533,402,737,5,38,224,285,195,287,67,32,38,123,154,1033,211,111,NA,1992,"Switzerland"
"Eric Bledsoe","PHO",66,66,2176,449,1034,104,310,388,458,52,268,418,92,31,223,164,1390,185,86,"University of Kentucky",1989,"Alabama"
"Eric Gordon","HOU",75,15,2323,412,1016,246,661,147,175,29,172,188,48,40,121,150,1217,193,97,"Indiana University",1988,"Indiana"
"Ersan Ilyasova","PHI",82,52,2142,384,890,142,402,161,207,115,366,141,58,23,116,211,1071,208,106,NA,1987,"Turkey"
"Evan Fournier","ORL",68,66,2234,408,930,128,360,223,277,44,165,202,66,4,141,180,1167,201,92,NA,1992,"France"
"Evan Turner","POR",65,12,1658,235,552,31,118,85,103,36,211,205,53,24,100,121,586,201,99,"Ohio State University",1988,"Illinois"
"Frank Kaminsky","CHO",75,16,1954,320,802,116,354,118,156,57,279,162,47,34,76,139,874,213,109,"University of Wisconsin",1993,"Illinois"
"Fred VanVleet","TOR",37,0,294,39,111,11,29,18,22,4,38,35,17,2,15,36,107,183,88,"Wichita State University",1994,"Illinois"
"Garrett Temple","SAC",65,21,1728,183,432,82,220,58,74,32,151,169,84,28,78,141,506,198,88,"Louisiana State University",1986,"Louisiana"
"Gary Harris","DEN",57,56,1782,320,637,107,255,104,134,48,130,164,71,8,76,92,851,193,95,"Michigan State University",1994,"Indiana"
"Gary Neal","ATL",2,0,18,0,7,0,2,4,4,0,1,1,0,0,0,1,4,193,95,"Towson University",1984,"Maryland"
"Gary Payton","MIL",6,0,99,8,22,1,9,3,5,0,12,13,3,4,10,9,20,NA,NA,NA,NA,NA
"George Hill","UTA",49,49,1544,289,606,94,233,157,196,23,144,203,50,11,85,114,829,190,85,"Indiana University-Purdue University Indianapolis",1986,"Indiana"
"Georges Niang","IND",23,0,93,9,36,1,12,2,2,2,15,5,3,0,5,6,21,203,104,"Iowa State University",1993,"Massachusetts"
"Georgios Papagiannis","SAC",22,0,355,56,102,0,2,12,14,24,62,20,3,17,24,44,124,216,108,NA,1997,"Greece"
"Gerald Green","BOS",47,0,538,95,232,39,111,33,41,17,68,33,9,7,25,48,262,201,92,NA,1986,"Texas"
"Gerald Henderson","PHI",72,41,1667,234,553,61,173,133,165,34,151,112,41,15,62,129,662,NA,NA,NA,NA,NA
"Giannis Antetokounmpo","MIL",80,80,2845,656,1259,49,180,471,612,142,558,434,131,151,234,246,1832,211,100,NA,1994,"Greece"
"Glenn Robinson","IND",69,27,1426,158,338,49,125,54,76,57,188,47,41,20,37,63,419,NA,NA,NA,NA,NA
"Goran Dragic","MIA",73,73,2459,534,1124,117,289,298,377,61,217,423,89,13,212,199,1483,190,86,NA,1986,"Slovenia"
"Gordon Hayward","UTA",73,73,2516,545,1156,149,374,362,429,49,344,252,73,20,140,117,1601,203,102,"Butler University",1990,"Indiana"
"Gorgui Dieng","MIN",82,82,2653,332,661,16,43,136,167,188,459,158,88,95,107,254,816,211,109,"University of Louisville",1990,"Senegal"
"Greg Monroe","MIL",81,0,1823,387,726,0,4,177,239,167,365,187,92,38,140,168,951,211,120,"Georgetown University",1990,"Louisiana"
"Greivis Vasquez","BRK",3,0,39,2,8,1,3,2,3,0,2,5,1,1,1,6,7,198,98,"University of Maryland",1987,"Venezuela"
"Harrison Barnes","DAL",79,79,2803,599,1280,78,222,242,281,94,303,117,66,15,102,128,1518,NA,NA,NA,NA,NA
"Hassan Whiteside","MIA",77,77,2513,542,973,0,0,225,358,293,795,57,56,161,154,226,1309,213,120,"Marshall University",1989,"North Carolina"
"Henry Ellenson","DET",19,2,146,23,64,10,35,4,8,8,33,7,1,1,14,6,60,211,111,"Marquette University",1997,"Wisconsin"
"Hollis Thompson","PHI",40,9,752,77,200,32,95,19,29,19,92,35,20,6,11,69,205,203,93,"Georgetown University",1991,"California"
"Ian Clark","GSW",77,0,1137,211,433,61,163,44,58,22,100,90,39,8,55,77,527,190,79,"Belmont University",1991,"Tennessee"
"Ian Mahinmi","WAS",31,0,555,65,111,0,0,43,75,47,103,19,33,24,34,90,173,211,113,NA,1986,"France"
"Iman Shumpert","CLE",76,31,1937,201,489,94,261,71,90,39,180,109,62,27,78,150,567,196,99,"Georgia Institute of Technology",1990,"Illinois"
"Isaiah Canaan","CHI",39,0,592,63,173,25,94,30,33,6,43,37,22,1,20,35,181,183,91,"Murray State University",1991,"Mississippi"
"Isaiah Taylor","HOU",4,0,52,1,7,0,2,1,2,1,2,3,1,1,0,6,3,190,77,"University of Texas at Austin",1994,"California"
"Isaiah Thomas","BOS",76,76,2569,682,1473,245,646,590,649,43,162,449,70,13,210,167,2199,NA,NA,NA,NA,NA
"Isaiah Whitehead","BRK",73,26,1643,204,508,44,149,91,113,32,152,192,42,36,142,175,543,193,96,"Seton Hall University",1995,"New York"
"Ish Smith","DET",81,32,1955,329,749,28,105,72,102,21,214,418,61,33,112,127,758,183,79,"Wake Forest University",1988,"North Carolina"
"Ivica Zubac","LAL",38,11,609,126,238,0,3,32,49,41,118,30,14,33,30,66,284,216,120,NA,1997,"Bosnia and Herzegovina"
"J.J. Barea","DAL",35,6,771,142,343,53,148,44,51,9,75,193,14,1,63,30,381,203,94,NA,1984,NA
"J.J. Redick","LAC",78,78,2198,396,890,201,468,180,202,11,160,110,55,13,98,125,1173,188,86,NA,1984,NA
"J.R. Smith","CLE",41,35,1187,123,356,95,271,10,15,17,96,62,40,11,26,77,351,NA,NA,NA,NA,NA
"Jabari Parker","MIL",51,50,1728,399,814,65,178,162,218,79,235,142,51,22,92,111,1025,203,113,"Duke University",1995,"Illinois"
"Jae Crowder","BOS",72,72,2335,333,720,157,394,176,217,48,367,155,72,23,79,161,999,198,106,"Marquette University",1990,"Georgia"
"Jahlil Okafor","PHI",50,33,1134,242,471,0,0,106,158,81,159,58,20,49,91,122,590,211,124,"Duke University",1995,"Illinois"
"Jake Layman","POR",35,1,249,26,89,13,51,13,17,6,18,11,9,3,11,22,78,206,95,"University of Maryland",1994,"Massachusetts"
"Jakob Poeltl","TOR",54,4,626,67,115,0,0,31,57,78,87,12,17,20,29,113,165,213,112,"University of Utah",1995,"Austria"
"Jamal Crawford","LAC",82,1,2157,359,869,116,322,174,203,17,112,213,59,14,134,115,1008,196,90,"University of Michigan",1980,"Washington"
"Jamal Murray","DEN",82,10,1764,295,730,115,344,106,120,41,173,170,52,24,113,124,811,193,93,"University of Kentucky",1997,"Canada"
"Jameer Nelson","DEN",75,39,2045,268,604,106,273,45,63,28,164,385,53,8,129,197,687,183,86,"Saint Joseph's University",1982,"Pennsylvania"
"James Ennis","MEM",64,28,1501,146,321,51,137,86,110,69,190,64,46,19,59,165,429,201,95,"California State University, Long Beach",1990,"California"
"James Harden","HOU",81,81,2947,674,1533,262,756,746,881,95,564,906,120,37,464,215,2356,196,99,"Arizona State University",1989,"California"
"James Johnson","MIA",76,5,2085,368,769,87,256,152,215,66,309,276,76,86,171,197,975,206,113,"Wake Forest University",1987,"Wyoming"
"James Jones","CLE",48,2,381,44,92,31,66,13,20,3,35,14,7,10,10,37,132,NA,NA,NA,NA,NA
"James Michael","GSW",52,2,457,62,117,2,8,21,42,34,56,17,18,29,19,47,147,198,90,NA,1992,NA
"James Young","BOS",29,0,220,25,58,12,35,6,9,6,20,4,10,2,4,15,68,198,97,"University of Kentucky",1995,"Michigan"
"JaMychal Green","MEM",77,75,2101,250,500,55,145,134,167,167,377,84,46,34,94,248,689,206,102,"University of Alabama",1990,"Alabama"
"Jared Dudley","PHO",64,7,1362,157,346,77,203,43,65,31,194,121,42,16,72,154,434,201,102,"Boston College",1985,"California"
"Jared Sullinger","TOR",11,1,118,15,48,3,18,4,8,10,17,3,4,1,4,17,37,206,117,"Ohio State University",1992,"Ohio"
"Jarell Eddie","PHO",5,0,62,6,19,4,16,8,9,1,6,0,1,0,1,1,24,201,98,"Virginia Polytechnic Institute and State University",1991,"Florida"
"Jarell Martin","MEM",42,3,558,58,151,9,25,40,50,42,120,8,17,9,28,91,165,208,108,"Louisiana State University",1994,"Louisiana"
