"player","team","G","GS","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","height","weight","college","birth_year","birth_state"
"Nerlens Noel","PHI",51,19,1047,184,309,0,1,77,111,93,201,50,65,51,51,126,445,211,103,"University of Kentucky",1994,"Massachusetts"
"Nick Collison","OKC",20,0,128,14,23,0,1,5,8,9,21,12,2,2,4,17,33,208,115,"University of Kansas",1980,"Iowa"
"Nick Young","LAL",60,60,1556,272,633,170,421,77,90,25,112,58,37,14,36,137,791,201,95,"University of Southern California",1985,"California"
"Nicolas Batum","CHO",77,77,2617,393,975,135,405,243,284,46,435,455,86,29,194,109,1164,203,90,NA,1988,"France"
"Nicolas Brussino","DAL",54,2,521,52,141,29,95,17,22,26,69,47,17,8,26,43,150,201,88,NA,1993,"Argentina"
"Nicolas Laprovittola","SAS",18,3,174,20,47,10,27,9,9,1,9,28,4,1,19,19,59,193,81,NA,1990,"Argentina"
"Nik Stauskas","PHI",80,27,2188,251,634,132,359,122,150,21,205,188,45,32,128,144,756,198,92,"University of Michigan",1993,"Canada"
"Nikola Jokic","DEN",73,59,2038,494,854,45,139,188,228,212,506,359,61,56,171,214,1221,208,113,NA,1995,"Serbia"
"Nikola Mirotic","CHI",70,15,1679,258,625,129,377,99,128,61,323,75,53,56,79,128,744,208,99,NA,1991,"Montenegro"
"Nikola Vucevic","ORL",75,55,2163,483,1031,23,75,107,160,176,603,208,77,74,117,180,1096,213,117,"University of Southern California",1990,"Switzerland"
"Noah Vonleh","POR",74,41,1265,130,270,7,20,60,94,131,256,31,30,27,64,154,327,208,108,"Indiana University",1995,"Massachusetts"
"Norman Powell","TOR",76,18,1368,227,506,56,173,126,159,26,142,82,51,14,70,127,636,193,97,"University of California, Los Angeles",1993,"California"
"Norris Cole","OKC",13,0,125,16,52,3,13,8,10,0,11,14,8,0,7,18,43,188,79,"Cleveland State University",1988,"Ohio"
"Okaro White","MIA",35,0,471,33,87,12,34,20,22,25,57,21,10,10,18,52,98,203,92,"Florida State University",1992,"Florida"
"Omer Asik","NOP",31,19,482,31,65,0,0,23,39,48,115,15,5,10,14,51,85,213,115,NA,1986,"Turkey"
"Omri Casspi","SAC",36,2,643,77,165,15,43,17,29,27,85,37,23,3,29,50,186,206,102,NA,1988,"Israel"
"Otto Porter","WAS",80,80,2605,414,803,148,341,99,119,118,397,121,116,41,43,193,1075,203,89,"Georgetown University",1993,"Missouri"
"P.J. Tucker","PHO",81,21,2236,199,482,70,196,72,93,117,355,99,116,19,66,196,540,206,97,NA,1986,NA
"Pascal Siakam","TOR",55,38,859,103,205,1,7,22,32,64,121,17,26,45,33,109,229,206,104,"New Mexico State University",1994,"Cameroon"
"Pat Connaughton","POR",39,1,316,37,72,17,33,7,9,10,42,28,6,2,17,23,98,196,93,"University of Notre Dame",1993,"Massachusetts"
"Patricio Garino","ORL",5,0,43,0,7,0,5,0,0,1,6,0,0,0,3,4,0,198,95,"George Washington University",1993,"Argentina"
"Patrick Beverley","HOU",67,67,2058,228,543,110,288,73,95,95,299,281,99,25,100,222,639,185,83,"University of Arkansas",1988,"Illinois"
"Patrick McCaw","GSW",71,20,1074,106,245,41,123,29,37,22,79,77,32,15,36,62,282,201,83,"University of Nevada, Las Vegas",1995,"Missouri"
"Patrick Patterson","TOR",65,8,1599,154,384,94,253,43,60,62,229,76,40,23,38,120,445,206,104,"University of Kentucky",1989,"District of Columbia"
"Patty Mills","SAS",80,8,1754,273,622,147,356,66,80,24,118,280,65,3,101,109,759,203,111,"Louisiana Tech University",1985,"Louisiana"
"Pau Gasol","SAS",64,39,1627,303,604,56,104,130,184,107,394,150,24,70,81,110,792,213,113,NA,1980,"Spain"
"Paul George","IND",75,75,2689,622,1349,195,496,336,374,58,434,251,117,27,218,206,1775,206,99,"California State University, Fresno",1990,"California"
"Paul Millsap","ATL",69,67,2343,430,972,75,241,311,405,111,422,252,90,62,158,186,1246,203,111,"Louisiana Tech University",1985,"Louisiana"
"Paul Pierce","LAC",25,7,277,28,70,15,43,10,13,1,47,10,4,5,16,40,81,201,106,"University of Kansas",1977,"California"
